"feat","avg(empathy.empathy)","avg(empathy.distress)","avg(empathy.empathy_bin)","avg(empathy.distress_bin)"
"1200","6.0556667","4.7500000","1.0000","0.6667"
"122","1.5000000","4.3750000","0.0000","1.0000"
"13","3.7082500","5.2812500","0.5000","1.0000"
"13,000","6.2500000","6.0625000","1.0000","1.0000"
"13,300","5.0000000","3.6250000","1.0000","0.0000"
"130","4.6667500","4.5000000","0.7500","0.7500"
"14","3.9000000","3.9500000","0.6000","0.6000"
"14-year-old","5.6670000","5.7500000","1.0000","1.0000"
"1400","5.6670000","3.0000000","1.0000","0.0000"
"1400miles","6.5000000","5.6250000","1.0000","1.0000"
"15","3.2334000","5.0500000","0.4000","1.0000"
"150","5.3330000","5.5000000","1.0000","1.0000"
"16","4.6670000","5.1250000","1.0000","1.0000"
"16-year","6.2500000","6.0625000","1.0000","1.0000"
"16-year-old","5.5000000","5.7500000","1.0000","1.0000"
"17","3.3330000","3.3750000","0.0000","0.0000"
"1750","4.5000000","5.5000000","1.0000","1.0000"
"175lbs","7.0000000","6.7500000","1.0000","1.0000"
"18","3.0835000","4.4375000","0.5000","0.5000"
"18,000","5.3330000","4.6250000","1.0000","1.0000"
"18-year-old","4.1670000","5.0000000","1.0000","1.0000"
"180","5.3330000","4.6250000","1.0000","1.0000"
"1800's","6.0000000","6.0000000","1.0000","1.0000"
"19","6.4334000","6.1000000","1.0000","1.0000"
"1925","3.0000000","4.5000000","0.0000","1.0000"
"1947","2.3335000","3.2500000","0.0000","0.5000"
"1950","7.0000000","7.0000000","1.0000","1.0000"
"1950s","4.0000000","4.7500000","1.0000","1.0000"
"1960","4.3330000","5.2500000","1.0000","1.0000"
"1960s","1.0000000","1.0000000","0.0000","0.0000"
"1966","4.5000000","5.0000000","1.0000","1.0000"
"1969","3.5000000","2.8750000","0.0000","0.0000"
"1980","3.3330000","2.0000000","0.0000","0.0000"
"1990","3.3330000","2.0000000","0.0000","0.0000"
"1993","4.1670000","3.7500000","1.0000","0.0000"
"1996","2.9170000","6.3750000","0.5000","1.0000"
"1997","6.2500000","6.0625000","1.0000","1.0000"
"1998","5.8330000","6.0000000","1.0000","1.0000"
"1999","5.5000000","5.1250000","1.0000","1.0000"
"19th","5.6670000","6.1250000","1.0000","1.0000"
"2","4.2333500","3.9937500","0.6500","0.5500"
"2,000","2.6665000","3.6250000","0.5000","0.5000"
"2-day-old","4.6670000","1.8750000","1.0000","0.0000"
"2.2","4.3330000","4.3750000","1.0000","1.0000"
"2.3","3.5000000","4.7500000","0.0000","1.0000"
"20","5.5000000","5.5357143","1.0000","0.8571"
"20-year","3.0000000","5.5000000","0.0000","1.0000"
"20-year-old","2.0000000","6.0000000","0.0000","1.0000"
"200","5.0833750","4.8593750","0.8750","0.8750"
"2000","4.7500000","2.9375000","0.5000","0.5000"
"2001","4.1670000","3.7500000","1.0000","0.0000"
"2002","2.8330000","1.0000000","0.0000","0.0000"
"2004","4.1670000","4.1250000","1.0000","1.0000"
"2005","6.0000000","6.0000000","1.0000","1.0000"
"2006","4.8330000","6.3750000","1.0000","1.0000"
"2007","1.0000000","1.6250000","0.0000","0.0000"
"2008","5.3335000","6.1875000","1.0000","1.0000"
"2009","1.0000000","1.0000000","0.0000","0.0000"
"2010","4.5835000","5.6250000","0.5000","1.0000"
"2011","4.8330000","5.3750000","1.0000","1.0000"
"2012","5.7223333","4.7083333","1.0000","0.6667"
"2013","2.5000000","4.5625000","0.0000","1.0000"
"2015","5.4666000","4.9750000","1.0000","0.8000"
"2016","3.4048571","3.4285714","0.4286","0.4286"
"2016-2017","4.0000000","4.0000000","1.0000","1.0000"
"2018","5.6670000","3.0000000","1.0000","0.0000"
"2019","1.6670000","1.0000000","0.0000","0.0000"
"2020","2.2223333","2.2916667","0.3333","0.3333"
"2022","4.3330000","3.6250000","1.0000","0.0000"
"20k","3.1670000","5.0000000","0.0000","1.0000"
"20s","5.8330000","5.7500000","1.0000","1.0000"
"20th","5.6670000","3.0000000","1.0000","0.0000"
"2196","3.3330000","4.7500000","0.0000","1.0000"
"21st","3.1670000","4.2500000","0.0000","1.0000"
"22","3.6665000","2.5625000","0.5000","0.5000"
"22-year-old","5.0000000","4.5000000","1.0000","1.0000"
"220","5.8330000","2.6250000","1.0000","0.0000"
"23","3.4165000","5.8125000","0.0000","1.0000"
"230","3.9165000","3.8750000","0.5000","0.5000"
"24","5.2776667","5.3333333","1.0000","1.0000"
"24-hour","4.6670000","4.3750000","1.0000","1.0000"
"25","4.9761429","4.8928571","0.7143","0.5714"
"250","2.8330000","1.0000000","0.0000","0.0000"
"25000","1.8330000","1.0000000","0.0000","0.0000"
"26","5.0000000","4.0000000","1.0000","0.5000"
"270","3.5000000","4.6250000","0.0000","1.0000"
"28","4.1665000","5.6875000","0.5000","1.0000"
"29","4.8886667","3.2083333","1.0000","0.3333"
"2m","4.5000000","5.1250000","1.0000","1.0000"
"2nd","5.0000000","4.8750000","0.5000","0.5000"
"3","4.3332727","3.9090909","0.5455","0.5455"
"3,000","4.8330000","5.2500000","1.0000","1.0000"
"3-year-old","6.0000000","5.8750000","1.0000","1.0000"
"3.2","4.6670000","4.8750000","1.0000","1.0000"
"3.6","5.8330000","5.5000000","1.0000","1.0000"
"30","3.7707500","4.1406250","0.5000","0.7500"
"30,000","3.3330000","3.5000000","0.0000","0.0000"
"30.1","6.1670000","6.0000000","1.0000","1.0000"
"300","2.0000000","4.0000000","0.0000","0.5000"
"30km","5.5000000","5.5000000","1.0000","1.0000"
"31","5.6666667","5.7083333","1.0000","1.0000"
"32","3.5000000","5.0000000","0.0000","1.0000"
"33","1.0000000","1.0000000","0.0000","0.0000"
"35","3.0835000","3.6875000","0.0000","0.5000"
"35-year","4.8330000","5.3750000","1.0000","1.0000"
"350","6.1665000","5.3750000","1.0000","1.0000"
"37","5.5000000","5.8750000","1.0000","1.0000"
"38","3.5000000","5.0000000","0.0000","1.0000"
"39","3.5000000","3.5000000","0.0000","0.0000"
"3rd","3.5415000","4.5000000","0.5000","0.5000"
"4","3.9242727","4.3181818","0.4545","0.7273"
"4.50","4.0000000","1.5000000","1.0000","0.0000"
"40","4.9000000","5.6000000","0.6000","0.8000"
"400","4.7776667","4.2916667","0.6667","0.6667"
"40s","4.8330000","4.0000000","1.0000","1.0000"
"41","4.8330000","6.3750000","1.0000","1.0000"
"42","5.2500000","6.0000000","0.5000","1.0000"
"43","4.1665000","3.2500000","0.5000","0.5000"
"4th","3.5830000","2.9375000","0.5000","0.5000"
"5","3.7667000","4.5625000","0.5000","0.7000"
"5,000","5.4170000","5.4375000","1.0000","1.0000"
"5,300","5.5000000","5.6250000","1.0000","1.0000"
"5.0","2.4165000","1.9375000","0.0000","0.0000"
"5.7","5.3330000","5.5000000","1.0000","1.0000"
"50","3.5835000","3.1875000","0.0000","0.0000"
"50's","3.3330000","3.3750000","0.0000","0.0000"
"500","5.6665000","3.4375000","1.0000","0.2500"
"5000","2.7223333","3.5000000","0.3333","0.6667"
"55","6.5000000","5.0000000","1.0000","1.0000"
"56","6.1670000","5.7500000","1.0000","1.0000"
"6","3.7000000","4.0000000","0.4000","0.6000"
"6'0","7.0000000","6.7500000","1.0000","1.0000"
"6,000","4.3330000","4.8750000","1.0000","1.0000"
"6.4","6.1665000","3.8125000","1.0000","0.5000"
"60","5.7915000","5.3437500","1.0000","1.0000"
"600","3.6670000","3.6250000","0.0000","0.0000"
"6000","4.6670000","6.3750000","1.0000","1.0000"
"60s","4.0835000","4.0625000","0.5000","0.5000"
"63","1.0000000","3.0000000","0.0000","0.0000"
"65","4.5000000","4.0000000","1.0000","1.0000"
"66","3.6670000","6.1250000","0.0000","1.0000"
"6:30","3.3330000","2.5000000","0.0000","0.0000"
"6th","3.1670000","1.3750000","0.0000","0.0000"
"7","3.5000000","3.2500000","0.6667","0.3333"
"70","5.0000000","4.6875000","1.0000","1.0000"
"70's","5.8330000","2.8750000","1.0000","0.0000"
"700","5.4167500","5.1562500","0.7500","0.7500"
"7000","3.3330000","3.7500000","0.0000","0.0000"
"70000","6.5000000","5.6250000","1.0000","1.0000"
"70s","7.0000000","6.7500000","1.0000","1.0000"
"74","6.5000000","1.0000000","1.0000","0.0000"
"75","3.8890000","3.6666667","0.6667","0.3333"
"750","4.6670000","4.2500000","1.0000","1.0000"
"78","3.8890000","4.5833333","0.6667","0.6667"
"783","5.3330000","5.1250000","1.0000","1.0000"
"8","4.1334000","3.7750000","0.6000","0.4000"
"8,000","3.7500000","3.7500000","0.5000","0.5000"
"8-year-old","5.5000000","5.7500000","1.0000","1.0000"
"8.8","6.1665000","3.8125000","1.0000","0.5000"
"80","3.4585000","2.5000000","0.0000","0.2500"
"80's","4.3330000","1.9375000","0.5000","0.0000"
"80,000","1.0000000","2.3750000","0.0000","0.0000"
"800","4.2500000","5.3750000","1.0000","1.0000"
"80s","2.0835000","2.3125000","0.0000","0.0000"
"82","3.5000000","3.8750000","0.0000","0.0000"
"83","1.1670000","1.1250000","0.0000","0.0000"
"83-year-old","3.8330000","3.0000000","0.0000","0.0000"
"86","3.8330000","1.0000000","0.0000","0.0000"
"86-year-old","7.0000000","1.1250000","1.0000","0.0000"
"87-year-old","5.0000000","4.8750000","1.0000","1.0000"
"88","5.8330000","5.7500000","1.0000","1.0000"
"8th","1.3335000","4.0625000","0.0000","0.5000"
"9","4.6000000","4.4250000","0.8000","0.6000"
"9/11","1.5835000","3.9375000","0.0000","0.5000"
"90","4.4165000","6.1250000","0.5000","1.0000"
"90's","2.8330000","1.0000000","0.0000","0.0000"
"90210alum","5.5000000","5.8750000","1.0000","1.0000"
"90s","2.0835000","2.3125000","0.0000","0.0000"
"911","3.9668000","4.8000000","0.8000","0.8000"
"99.9","3.1670000","3.7500000","0.0000","0.0000"
":","4.6196410","4.5608974","0.7436","0.6923"
":(","3.5278333","5.6041667","0.5000","0.8333"
";","3.1110952","3.4047619","0.2857","0.4286"
"<many","5.0000000","3.8750000","1.0000","0.0000"
"<slowly","3.6670000","5.7500000","0.0000","1.0000"
"?","3.7526521","3.8242092","0.4842","0.5061"
"@marvel","4.1670000","4.6250000","1.0000","1.0000"
"@middleditch","5.8330000","5.7500000","1.0000","1.0000"
"[","3.0000000","3.3750000","0.0000","0.0000"
"a","3.7108623","3.7114008","0.4935","0.4799"
"aah","4.5000000","6.8750000","1.0000","1.0000"
"aare","5.0000000","4.7500000","1.0000","1.0000"
"abandon","3.1670000","5.7500000","0.0000","1.0000"
"abandoned","4.6670000","5.8750000","1.0000","1.0000"
"abandoning","3.1670000","5.7500000","0.0000","1.0000"
"abbasi","5.5000000","6.5000000","1.0000","1.0000"
"abducted","1.0000000","1.0000000","0.0000","0.0000"
"abed","5.5000000","2.2500000","1.0000","0.0000"
"abhorrent","4.0000000","4.0000000","1.0000","1.0000"
"abid","5.6670000","5.7500000","1.0000","1.0000"
"abiding","1.0000000","1.1250000","0.0000","0.0000"
"ability","4.0455455","3.3522727","0.5455","0.3636"
"abject","2.6665000","4.5000000","0.5000","0.5000"
"able","4.1130714","3.7842262","0.5714","0.4643"
"abolishing","2.5000000","2.5000000","0.5000","0.5000"
"abolishment","6.0000000","2.0000000","1.0000","0.0000"
"abortion","2.9167500","3.3750000","0.2500","0.2500"
"about","3.6027196","3.7034884","0.4845","0.4845"
"above","4.2962222","4.0416667","0.6667","0.5556"
"abruptly","7.0000000","7.0000000","1.0000","1.0000"
"absconded","4.0000000","2.0000000","1.0000","0.0000"
"absent","2.5000000","2.6250000","0.0000","0.0000"
"absolute","3.0000000","3.1250000","0.5000","0.5000"
"absolutely","3.9000800","5.3300000","0.4800","0.8400"
"abstract","6.3330000","7.0000000","1.0000","1.0000"
"absurd","2.6670000","3.0000000","0.5000","0.5000"
"absurdity","2.3335000","1.4375000","0.0000","0.0000"
"abu","5.3330000","4.0000000","1.0000","1.0000"
"abubakar","5.5000000","5.7500000","1.0000","1.0000"
"abuja","5.5000000","5.7500000","1.0000","1.0000"
"abundant","4.3330000","2.8750000","1.0000","0.0000"
"abuse","4.1000000","4.7000000","0.6000","0.7333"
"abused","4.1061818","4.1250000","0.6364","0.4545"
"abuser","3.6665000","4.0000000","0.5000","0.5000"
"abusers","4.1670000","4.0000000","1.0000","1.0000"
"abuses","3.5417500","3.8437500","0.7500","0.2500"
"abusing","4.9167500","5.6875000","0.7500","1.0000"
"abusive","4.5000000","5.3750000","1.0000","1.0000"
"abut","3.8330000","6.6250000","0.0000","1.0000"
"academia","1.0000000","1.8750000","0.0000","0.0000"
"academic","3.5000000","3.5000000","0.0000","0.0000"
"academics","1.5000000","1.0000000","0.0000","0.0000"
"academy","2.8335000","4.3125000","0.0000","0.5000"
"accelerating","6.0000000","6.0000000","1.0000","1.0000"
"accept","3.1834000","3.7500000","0.4000","0.4000"
"acceptable","2.9260000","4.7500000","0.2222","0.6667"
"acceptance","5.3330000","6.2500000","1.0000","1.0000"
"accepted","3.8095714","5.0178571","0.5714","0.7143"
"accepting","3.7917500","2.8437500","0.5000","0.5000"
"access","3.5666500","3.1375000","0.5500","0.3000"
"accessed","4.6670000","5.1250000","1.0000","1.0000"
"accessible","6.5000000","4.5625000","1.0000","0.5000"
"accident","4.2701379","3.9784483","0.6552","0.6207"
"accidental","5.3330000","6.0000000","1.0000","1.0000"
"accidentally","3.3335000","1.1250000","0.0000","0.0000"
"accidents","4.6153846","4.1442308","0.6923","0.5385"
"acclaimed","4.5000000","4.0000000","1.0000","1.0000"
"accompanying","3.5000000","4.3750000","0.0000","1.0000"
"accomplices","7.0000000","6.1250000","1.0000","1.0000"
"accomplish","3.2223333","3.7916667","0.3333","0.3333"
"accomplished","4.5000000","5.4583333","0.6667","0.6667"
"accomplishments","4.0000000","4.1250000","0.5000","0.5000"
"accord","1.6665000","2.6250000","0.0000","0.5000"
"according","4.4035789","4.3026316","0.6316","0.6842"
"accordingly","7.0000000","7.0000000","1.0000","1.0000"
"accords","2.5835000","3.5000000","0.5000","0.5000"
"account","2.9607647","3.4411765","0.2941","0.4118"
"accountability","3.3890000","4.7500000","0.3333","1.0000"
"accountable","3.2085000","4.7500000","0.2500","0.7500"
"accounted","1.3330000","3.0000000","0.0000","0.0000"
"accounting","3.1670000","3.6250000","0.0000","0.0000"
"accounts","3.1025385","4.3846154","0.4615","0.5385"
"acct","4.5000000","5.3750000","1.0000","1.0000"
"accumulate","2.5000000","1.3750000","0.0000","0.0000"
"accurate","1.0000000","1.0000000","0.0000","0.0000"
"accusations","3.6670000","2.8750000","0.0000","0.0000"
"accuse","2.0000000","6.0000000","0.0000","1.0000"
"accused","4.3094286","3.5178571","0.5714","0.5714"
"accusing","4.5000000","5.6250000","0.5000","1.0000"
"accustomed","1.9165000","1.3750000","0.0000","0.0000"
"ache","5.1670000","6.8750000","1.0000","1.0000"
"aches","4.6670000","6.0000000","1.0000","1.0000"
"achievable","7.0000000","1.0000000","1.0000","0.0000"
"achieve","3.6666667","3.4166667","0.3333","0.6667"
"achieved","5.6665000","2.0625000","1.0000","0.0000"
"achievement","3.5000000","4.7500000","0.0000","1.0000"
"achieving","4.5000000","4.6250000","1.0000","1.0000"
"acknowldge","2.1670000","1.8750000","0.0000","0.0000"
"acknowledge","3.0835000","4.1562500","0.5000","0.7500"
"acknowledged","5.0000000","5.0000000","1.0000","1.0000"
"acquire","4.3330000","6.8750000","1.0000","1.0000"
"acquiring","4.8335000","6.5000000","0.5000","1.0000"
"acquitted","5.8330000","6.0000000","1.0000","1.0000"
"acres","4.2502500","3.8750000","0.7500","0.5000"
"acrobatic","6.8330000","1.6250000","1.0000","0.0000"
"across","4.1613750","4.0156250","0.6250","0.5313"
"act","3.9144324","4.6655405","0.5405","0.6486"
"acted","1.0000000","3.0000000","0.0000","0.0000"
"acting","2.7833000","3.3375000","0.1000","0.4000"
"action","3.5000000","4.7812500","0.5000","0.6667"
"actions","3.4775135","3.7331081","0.4324","0.5405"
"activate","3.0000000","6.5000000","0.0000","1.0000"
"active","5.1110000","5.3750000","1.0000","0.6667"
"actively","4.0556667","3.5000000","0.6667","0.3333"
"activist","3.0832500","3.5625000","0.2500","0.5000"
"activists","3.9443333","5.2083333","0.3333","0.6667"
"activities","4.4764286","4.2857143","0.5714","0.7143"
"activity","4.3095714","4.7142857","0.5714","0.7143"
"actor","4.5000000","1.9791667","0.6667","0.0000"
"actors","3.2500000","2.5937500","0.5000","0.2500"
"actress","4.9334000","2.8250000","0.8000","0.2000"
"actresses","2.8335000","1.1875000","0.5000","0.0000"
"acts","3.1666333","3.5083333","0.4000","0.4000"
"actual","2.2291250","3.2187500","0.1250","0.5000"
"actuality","5.5000000","1.2500000","1.0000","0.0000"
"actually","3.4968039","3.5955882","0.4706","0.4902"
"acuity","1.0000000","2.6250000","0.0000","0.0000"
"ad","2.8335000","2.9375000","0.0000","0.0000"
"adapt","3.7666000","3.5000000","0.4000","0.4000"
"adapted","1.0000000","1.2500000","0.0000","0.0000"
"adapting","2.6665000","4.8125000","0.0000","0.5000"
"add","1.5000000","3.3437500","0.0000","0.2500"
"added","5.2502500","4.5937500","1.0000","0.7500"
"addict","3.5000000","4.6250000","0.0000","1.0000"
"addiction","3.0835000","2.9375000","0.5000","0.5000"
"addictions","6.3330000","3.5000000","1.0000","0.0000"
"addicts","2.8330000","4.5000000","0.0000","1.0000"
"adding","4.6667500","5.1250000","0.5000","1.0000"
"addition","4.3890000","4.8750000","0.6667","1.0000"
"additional","3.2776667","5.0416667","0.0000","1.0000"
"address","1.7334000","2.6000000","0.0000","0.4000"
"addressed","3.1191429","3.4285714","0.2857","0.5714"
"addressing","2.5000000","2.9375000","0.0000","0.5000"
"adds","4.5000000","3.8333333","0.6667","0.6667"
"aden","5.0000000","5.5000000","1.0000","1.0000"
"adequate","5.6670000","4.5000000","1.0000","1.0000"
"adjacent","3.3330000","4.0000000","0.0000","1.0000"
"adjoining","1.0000000","1.0000000","0.0000","0.0000"
"adjust","1.6670000","1.0000000","0.0000","0.0000"
"adjusting","1.0000000","2.8750000","0.0000","0.0000"
"administered","5.5000000","6.0000000","1.0000","1.0000"
"administration","2.7381429","4.1607143","0.1429","0.5714"
"administrative","4.5000000","3.3125000","0.5000","0.5000"
"administrators","1.5000000","6.0000000","0.0000","1.0000"
"adminstration","2.3330000","6.8750000","0.0000","1.0000"
"admirable","2.5556667","1.2916667","0.3333","0.0000"
"admired","6.0000000","3.1250000","1.0000","0.0000"
"admirers","4.5000000","5.0000000","1.0000","1.0000"
"admissions","5.5000000","5.6250000","1.0000","1.0000"
"admit","2.9334000","3.3750000","0.4000","0.6000"
"admitted","6.3333333","6.2083333","1.0000","1.0000"
"admitting","6.0835000","4.0625000","1.0000","0.5000"
"adolf","1.0000000","2.2500000","0.0000","0.0000"
"adolph","1.8330000","4.5000000","0.0000","1.0000"
"adopt","5.3330000","2.3750000","1.0000","0.0000"
"adopted","3.1670000","5.7500000","0.0000","1.0000"
"adoption","3.6670000","3.8750000","0.0000","0.0000"
"adoptive","4.5000000","5.3750000","1.0000","1.0000"
"adorable","4.1670000","5.0000000","1.0000","1.0000"
"adore","4.3335000","5.7500000","0.5000","1.0000"
"ads","2.2223333","3.7500000","0.3333","0.3333"
"adult","4.3611667","2.9791667","0.8333","0.1667"
"adults","4.5111333","3.9166667","0.6667","0.5333"
"advance","3.6111667","4.5625000","0.6667","0.6667"
"advanced","2.5000000","2.4375000","0.5000","0.0000"
"advances","3.2500000","3.8750000","0.5000","0.5000"
"advancing","3.2917500","4.3750000","0.2500","0.7500"
"advantage","3.1970000","3.9659091","0.4545","0.5455"
"advent","5.6670000","3.0000000","1.0000","0.0000"
"adventure","5.3330000","5.5000000","1.0000","1.0000"
"adversely","2.8330000","4.5000000","0.0000","1.0000"
"adversity","3.9585000","3.9375000","0.5000","0.7500"
"advertise","3.0000000","1.5000000","0.5000","0.0000"
"advertisement","4.9165000","3.6250000","1.0000","0.5000"
"advertisements","4.8335000","2.0000000","1.0000","0.0000"
"advertising","2.8335000","2.5000000","0.5000","0.0000"
"advice","5.8333333","2.7500000","1.0000","0.3333"
"advise","5.0000000","4.0000000","1.0000","1.0000"
"advising","7.0000000","6.1250000","1.0000","1.0000"
"advocate","3.8890000","5.2500000","0.3333","0.6667"
"aerial","7.0000000","7.0000000","1.0000","1.0000"
"aesthetics","1.0000000","1.0000000","0.0000","0.0000"
"affair","1.0000000","2.1250000","0.0000","0.0000"
"affairs","3.5832500","3.9062500","0.5000","0.5000"
"affect","2.6983810","3.3511905","0.2381","0.3810"
"affected","3.9655172","4.2284483","0.5517","0.6552"
"affecting","3.3461538","3.5673077","0.3846","0.5385"
"affection","5.6670000","5.5000000","1.0000","1.0000"
"affects","3.6573889","3.8888889","0.3889","0.5000"
"affidavit","4.3330000","5.0000000","1.0000","1.0000"
"affiliate","5.4170000","5.5625000","1.0000","1.0000"
"affiliated","3.8330000","3.8750000","0.0000","0.0000"
"afflicted","4.0000000","4.2500000","1.0000","1.0000"
"afford","4.4000000","3.9000000","0.7000","0.6000"
"affordable","2.7223333","3.2083333","0.3333","0.3333"
"affront","1.1670000","3.3750000","0.0000","0.0000"
"afganistan","2.3330000","3.1250000","0.0000","0.0000"
"afghan","4.2780000","5.2083333","0.6667","1.0000"
"afghanis","4.6670000","4.6250000","1.0000","1.0000"
"afghanistan","4.2436154","4.3269231","0.7692","0.6923"
"afire","2.0000000","5.7500000","0.0000","1.0000"
"aforementioned","4.6670000","2.0000000","1.0000","0.0000"
"afp","3.0000000","5.2500000","0.0000","1.0000"
"afraid","3.8646250","3.6796875","0.5625","0.4375"
"africa","4.3704444","3.6736111","0.6667","0.4444"
"african","4.5000000","5.2500000","1.0000","1.0000"
"african-american","4.5000000","4.1250000","1.0000","1.0000"
"afrikaans","4.1670000","2.8750000","1.0000","0.0000"
"after","4.0395064","3.9030449","0.5577","0.5513"
"afterall","3.1670000","5.1250000","0.0000","1.0000"
"afterlife","3.1670000","4.7500000","0.0000","1.0000"
"afternoon","5.7500000","5.1250000","1.0000","1.0000"
"afternoons","5.1670000","1.2500000","1.0000","0.0000"
"afterward","4.1670000","6.2500000","1.0000","1.0000"
"afterwards","3.1670000","3.1250000","0.0000","0.0000"
"again","3.3168519","3.4953704","0.3827","0.4444"
"against","3.6205921","4.1480263","0.4474","0.5921"
"age","4.0745526","3.7335526","0.6053","0.5263"
"aged","3.7500000","1.0000000","0.5000","0.0000"
"agencies","4.0556667","5.0000000","0.6667","0.6667"
"agency","3.1668000","3.9250000","0.4000","0.6000"
"agenda","2.6665714","2.9821429","0.1429","0.4286"
"agendas","3.0000000","7.0000000","0.0000","1.0000"
"agent","3.2500000","5.3125000","0.0000","1.0000"
"agent's","5.5000000","5.3750000","1.0000","1.0000"
"ages","5.3333333","5.7083333","0.6667","1.0000"
"aggravated","1.0000000","3.1875000","0.0000","0.0000"
"aggravates","1.5835000","3.7500000","0.0000","0.0000"
"aggravation","1.0000000","1.6250000","0.0000","0.0000"
"aggression","6.0000000","6.0000000","1.0000","1.0000"
"aggressive","2.8332000","4.4000000","0.2000","0.8000"
"aghanistan","3.5000000","4.8750000","0.0000","1.0000"
"aghast","6.3330000","3.5000000","1.0000","0.0000"
"ago","3.7968125","3.9375000","0.5938","0.4688"
"agonized","5.8330000","4.6250000","1.0000","1.0000"
"agonizing","5.1670000","4.0000000","1.0000","1.0000"
"agree","3.6178780","3.3384146","0.4146","0.4634"
"agreed","3.6665000","3.3750000","0.5000","0.5000"
"agreement","3.3334000","3.8000000","0.4000","0.4000"
"agreements","5.3330000","7.0000000","1.0000","1.0000"
"agricultural","5.0000000","3.6250000","1.0000","0.0000"
"agriculture","3.0000000","5.6875000","0.2500","1.0000"
"aguek","6.1670000","5.5000000","1.0000","1.0000"
"ahead","3.6110000","3.6875000","0.5000","0.5000"
"ahem","3.0000000","1.5000000","0.0000","0.0000"
"ahold","5.5000000","4.2500000","1.0000","1.0000"
"ahve","2.6670000","5.1250000","0.0000","1.0000"
"aid","4.4359231","4.1250000","0.6923","0.4615"
"aids","4.3330000","4.8750000","1.0000","1.0000"
"aim","1.0000000","1.6250000","0.0000","0.0000"
"air","4.0255385","3.9903846","0.5385","0.5385"
"aircraft","4.5553333","4.5833333","0.6667","1.0000"
"aired","3.1670000","3.6250000","0.0000","0.0000"
"airline","5.5000000","5.8750000","1.0000","1.0000"
"airlines","2.8890000","2.7083333","0.3333","0.3333"
"airport","4.4666000","4.6250000","0.6000","0.6000"
"airports","3.0000000","6.5000000","0.0000","1.0000"
"airsoft","1.0000000","1.0000000","0.0000","0.0000"
"airstrikes","5.1665714","5.4464286","0.8571","0.8571"
"aisle","4.0000000","5.6250000","1.0000","1.0000"
"akin","3.6670000","2.8750000","0.5000","0.5000"
"al","5.5000000","6.0000000","1.0000","1.0000"
"al-aqaeda","5.0000000","6.2500000","1.0000","1.0000"
"al-baghdadi","5.3330000","4.0000000","1.0000","1.0000"
"al-kubra","3.6670000","2.8750000","0.0000","0.0000"
"al-qaeda","4.5000000","6.7500000","1.0000","1.0000"
"alabama","2.5000000","3.8750000","0.0000","0.0000"
"alan","6.1670000","6.5000000","1.0000","1.0000"
"alarm","1.3890000","3.5000000","0.0000","0.3333"
"alarmed","3.0668000","3.0250000","0.2000","0.2000"
"alarming","3.3021250","4.8671875","0.5000","0.7500"
"alarms","1.3330000","2.5000000","0.0000","0.0000"
"alaska","5.3333333","5.5000000","0.6667","1.0000"
"albatross","2.3330000","1.0000000","0.0000","0.0000"
"alec","7.0000000","7.0000000","1.0000","1.0000"
"aleppo","4.4628889","4.0416667","0.5556","0.2222"
"alert","4.6334000","4.8500000","0.8000","0.8000"
"alexander","5.0835000","4.3125000","1.0000","1.0000"
